7160MSA SALT LAKE CITY-OGDEN, UT                                      1275076 
7200MSA SAN ANGELO, TX                                                102300  
7240MSA SAN ANTONIO, TX                                               1564949 
7320MSA SAN DIEGO, CA                                                 2820844 
7360PMSASAN FRANCISCO, CA                                           841685647 
7362CMSASAN FRANCISCO-OAKLAND-SAN JOSE, CA                          846873645 
7400PMSASAN JOSE, CA                                                841647419 
7440PMSASAN JUAN-BAYAMON, PR                                        872017328 
7442CMSASAN JUAN-CAGUAS-ARECIBO, PR                                 872512533 
7460MSA SAN LUIS OBISPO-ATASCADERO-PASO ROBLES, CA                    236953  
7480MSA SANTA BARBARA-SANTA MARIA-LOMPOC, CA                          391071  
7485PMSASANTA CRUZ-WATSONVILLE, CA                                  84245201  
7490MSA SANTA FE, NM                                                  142509  
7500PMSASANTA ROSA, CA                                              84439970  
7510MSA SARASOTA-BRADENTON, FL                                        550077  
7520MSA SAVANNAH, GA                                                  288426  
7560MSA SCRANTON--WILKES-BARRE--HAZLETON, PA                          611492  
7600PMSASEATTLE-BELLEVUE-EVERETT, WA                                912334934 
7602CMSASEATTLE-TACOMA-BREMERTON, WA                                913465760 
7610MSA SHARON, PA                                                    121458  
7620MSA SHEBOYGAN, WI                                                 110136  
7640MSA SHERMAN-DENISON, TX                                           103728  
7680MSA SHREVEPORT-BOSSIER CITY, LA                                   377673  
7720MSA SIOUX CITY, IA-NE                                             120577  
7760MSA SIOUX FALLS, SD                                               164481  
7800MSA SOUTH BEND, IN                                                258537  
7840MSA SPOKANE, WA                                                   409736  
7880MSA SPRINGFIELD, IL                                               204030  
7920MSA SPRINGFIELD, MO                                               308332  
8000MSA SPRINGFIELD, MA                                               573940  
8040PMSASTAMFORD-NORWALK, CT                                        70332835  
8050MSA STATE COLLEGE, PA                                             132190  
8080MSA STEUBENVILLE-WEIRTON, OH-WV                                   133292  
8120MSA STOCKTON-LODI, CA                                             563183  
8140MSA SUMTER, SC                                                    112412  
8160MSA SYRACUSE, NY                                                  732920  
8200PMSATACOMA, WA                                                  91688807  
8240MSA TALLAHASSEE, FL                                               260003  
8280MSA TAMPA-SAINT PETERSBURG-CLEARWATER, FL                         2278169 
8320MSA TERRE HAUTE, IN                                               148206  
8360MSA TEXARKANA, TX-TEXARKANA, AR                                   122886  
8400MSA TOLEDO, OH                                                    608976  
8440MSA TOPEKA, KS                                                    170773  
8480PMSATRENTON, NJ                                                 70333861  
8520MSA TUCSON, AZ                                                    803618  
8560MSA TULSA, OK                                                     786117  
8600MSA TUSCALOOSA, AL                                                161435  
8640MSA TYLER, TX                                                     169693  
8680MSA UTICA-ROME, NY                                                293068  
8720PMSAVALLEJO-FAIRFIELD-NAPA, CA                                  84506685  
8735PMSAVENTURA, CA                                                 49745063  
8750MSA VICTORIA, TX                                                  82087   
8760PMSAVINELAND-MILLVILLE-BRIDGETON, NJ                            77140112  
8780MSA VISALIA-TULARE-PORTERVILLE, CA                                358470  
8800MSA WACO, TX                                                      204244  
8840PMSAWASHINGTON, DC-MD-VA-WV                                     974739999 
8872CMSAWASHINGTON-BALTIMORE, DC-MD-VA-WV                           977359044 
8880PMSAWATERBURY, CT                                               70222613  
8920MSA WATERLOO-CEDAR FALLS, IA                                      119959  
8940MSA WAUSAU, WI                                                    123584  
8960MSA WEST PALM BEACH-BOCA RATON, FL                                1049420 
9000MSA WHEELING, WV-OH                                               153946  
9040MSA WICHITA, KS                                                   548714  
9080MSA WICHITA FALLS, TX                                             136493  
9140MSA WILLIAMSPORT, PA                                              116709  
9160PMSAWILMINGTON-NEWARK, DE-MD                                    77571420  
9200MSA WILMINGTON, NC                                                222109  
9240PMSAWORCESTER, MA-CT                                            07497126  
9260MSA YAKIMA, WA                                                    220785  
9270PMSAYOLO, CA                                                    82155573  
9280MSA YORK, PA                                                      376586  
9320MSA YOUNGSTOWN-WARREN, OH                                         589236  
9340MSA YUBA CITY, CA                                                 138030  
9360MSA YUMA, AZ                                                      135614  
